21712	22368
21376	22064
21536	22720
22688	24176
25184	25424
27824	27120
28496	28288
28688	28736
29376	29824
30624	30784
31760	32112
33216	33056
33824	34208
34560	35248
35584	36336
36640	37296
37392	37632
38560	38432
39264	39520
40624	40720
41168	41632
41840	42080
42304	42688
43472	43664
44128	44416
44560	45216
45456	45760
45936	46256
46480	46672
46928	47328
47984	48304
48720	48912
48992	49184
49328	49344
49472	49536
49824	50000
50368	50464
51008	51280
51232	51296
51392	51408
51472	51424
51648	51808
51888	52048
52256	52464
52448	52560
52720	52224
52720	52384
52432	52240
52352	52224
52352	52336
52336	52368
52272	52272
52256	52448
52240	52064
51936	51616
51600	51392
51216	51104
50800	50848
50464	50464
50272	50208
49984	49776
49488	49280
48832	48672
48432	48528
48192	48208
47888	47648
47232	46944
46528	45856
45776	45104
45056	44704
44608	44352
44096	43952
43184	43200
42400	42032
41648	41376
40912	40656
40160	39888
39344	38912
38608	38304
37584	37296
36208	35904
35744	35168
34624	34320
33648	33312
32528	32480
31488	31472
30480	30352
29648	29248
28464	28400
27616	27008
26304	26304
24864	24992
24032	23760
22832	22720
21936	21424
20352	20032
19440	18976
18016	17920
16896	16752
15792	15472
14560	14240
13088	12960
12016	11744
10384	10336
9104	9440
8160	8176
6784	6880
5744	5616
4624	4336
3488	2992
2608	1680
2288	784
5840	4768
50608	52304
60432	54096
65520	58336
61376	58704
60768	59440
59056	60416
54800	60080
53424	59520
52368	58624
51344	55360
50960	48048
49680	46768
48624	47680
47472	47728
45648	46240
44288	44112
43728	42752
42304	41744
41056	40736
40048	39840
39040	39056
38080	37504
36496	35952
35456	34992
34768	34304
33536	33712
32576	32688
31632	31360
30896	30272
29520	29216
28816	28304
28064	27568
27344	26896
26192	26336
25216	25280
24160	24112
23536	23504
22608	22528
22080	21888
21536	21344
20784	20752
20096	20144
19584	19616
19184	18944
18336	18288
17728	17440
17376	16752
16656	16384
16240	16160
15952	15984
15632	15664
15216	15104
14816	14496
14464	14176
14144	14080
13920	14000
13744	13824
13808	13600
13360	13056
13136	13072
13104	13024
13072	13024
13072	13088
13040	13216
13104	13264
13104	13232
13152	13264
13184	13280
13216	13456
13312	13664
13488	14032
13568	14208
14320	14464
15024	14832
15600	15104
16000	15808
16272	16112
16464	16528
16656	16928
16944	17232
17648	17456
18176	18176
19312	19424
19760	20112
20560	20432
21008	20480
21456	21328
22064	22384
23376	23456
24288	24416
24976	25136
25568	25760
25904	26320
27008	26912
27904	28400
29136	29632
29744	30416
30832	30784
31536	31904
32848	32912
34016	34256
34912	35104
36080	36352
36992	37600
38096	38176
39344	39568
40688	40752
41520	42224
42496	43136
43904	44032
45280	45792
46480	47088
47184	47904
48848	49600
49664	50656
50816	51520
52352	52992
53968	54496
55136	55904
56096	56112
56896	55936
58496	56208
59280	56320
60400	56832
61728	56496
64096	56304
57872	56192
10416	15536
11872	304
5472	720
3520	1040
3520	1408
2544	1696
3216	11840
4400	19984
8960	12400
18176	6144
20704	10000
13824	18784
10560	19680
14256	15808
20800	16304
22304	20336
20912	21952
20752	21840
21600	22752
23152	24272
25872	25648
27600	27264
27936	28080
28528	28880
29520	29776
30896	30992
31824	32032
32800	33200
33984	34192
34560	35168
35760	36336
36608	36912
37840	37648
38480	38464
39200	39808
40560	40720
41024	41616
41936	42080
42640	42688
43440	43712
43776	44464
44880	45232
45472	45792
45952	46208
46480	46400
47072	47120
47984	48272
48720	48864
49120	49136
49360	49392
49488	49408
49744	49664
50304	50464
50720	50992
50976	51296
51344	51360
51456	51472
51648	51856
51904	52096
51968	52368
52416	52464
52496	52448
52464	52400
52224	52288
52400	52320
52368	52368
52336	52320
52368	52448
52288	52176
52240	52080
51712	51952
51664	51376
51440	51008
50880	50816
50464	50448
50256	50272
50032	49824
49472	49264
49136	48720
48496	48480
48368	48032
47728	47824
47264	46912
46528	45936
45760	45248
45296	44640
44560	44304
44144	43808
43104	42832
42128	41984
41424	41408
40704	40576
39968	39696
39264	39152
38592	37936
37584	36928
36544	36288
35792	35280
34672	34400
33632	33504
32624	32112
31504	31248
30704	30320
29280	29200
28416	28352
27424	27344
26336	26336
24864	25008
23856	23424
22864	22400
21984	21392
20272	20080
19056	18992
18416	17952
16992	17072
15488	15376
14080	13968
13232	12624
11888	11744
10592	10672
9024	9216
8160	7952
7136	6896
5792	5232
4784	4032
3152	2816
2576	1872
2048	1216
5856	5248
50288	51024
56512	53344
65520	57696
59808	58640
61776	59456
59056	60320
54896	60032
53328	59216
52240	58592
51248	56256
50864	48736
49728	46608
48624	47296
47456	47488
45744	46288
44480	44192
43648	42960
42672	41856
41424	40704
40352	40112
38992	39008
37760	37136
36400	35856
35808	35136
34608	34448
33616	33424
32528	32336
31600	31296
30912	30320
29936	29296
28896	28592
27840	27568
27360	27104
26304	26016
25360	24960
24384	24096
23488	23328
22992	22624
22016	21936
21680	21248
20864	20592
20256	20064
19952	19520
18992	18992
18112	18656
17232	17568
16832	16784
16576	16240
16528	15968
16288	15888
15792	15728
15040	15264
14368	14608
14080	14224
13984	13968
13952	13856
13920	13792
13904	13584
13680	13440
13312	13184
12944	13104
13040	13072
12832	13088
12912	12816
12912	13072
12992	13200
13040	13184
13088	13280
13184	13456
13328	13632
13552	14032
13984	14304
14400	14624
15328	15024
15680	15104
15984	15664
16192	16064
16352	16544
16624	16656
17024	17296
17584	17776
18416	18176
18960	19264
20096	19936
20656	20368
21088	20896
21280	21600
22224	22464
23152	23488
23808	24080
24912	24976
25744	25744
26112	26144
27120	27312
28064	28384
29136	29280
29936	30336
30512	30720
31856	31984
32912	33248
33808	34256
34848	35296
